AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$44526.00;10/12/11;ENVIRONMENTAL LAW INSTITUTE;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4000.00;10/12/11;DUPONT COMPUTERS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$338134.00;10/12/11;UNITY HEALTH CARE, INC.;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;EXPLOSIVES STORAGE BOXES, BUNKERS, ETC. 45;$5000.00;10/12/11;MARYLAND SMALL ARMS RANGE INC.;UPPER MARLBORO  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$4999.00;10/12/11;OTICON, INC.;SOMERSET  ;NJ
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;ANDREA GRIFFIN;LAUREL  ;MD
OFFICE OF THE CHIEF MEDICAL EXAMINER;LABORATORY EQUIPMENT 57;$4969.40;10/12/11;UNITED CHEMICAL TECHNOLOGIES;BRISTOL  ;PA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/12/11;CYNTHIA T. URICK;ALEXANDRIA  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$117700.00;10/12/11;BATTELLE FOR KIDS;COLUMBUS  ;OH
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$14964.84;10/12/11;SHANDRA A MCKENZIE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87;$22255.68;10/12/11;SCHOOL SPECIALTY;GREENVILLE  ;WI
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$33600.00;10/12/11;TESSA R. THOMPSON;ARLINGTON  ;VA
OFFICE OF UNIFIED COMMUNICATIONS;TELECOMMUNICATIONS SYSTEMS (TELEPHONE, RADIO, ETC.) - ARCHITECTURAL 84;$474917.78;10/12/11;MOTOROLA, INC.;SCHAUMBURG  ;IL
EQUIPMENT LEASE - CAPITAL;ELECTRICAL ENGINEERING 31;$99661.66;10/12/11;MOTOROLA, INC.;SCHAUMBURG  ;IL
DC PUBLIC LIBRARY;ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02;$35000.00;10/12/11;HIMMEL & WILSON LIBRARY CONSUL;MILTON  ;WI
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$5000.00;10/13/2011;CHARLES J. KEY;VESUVIUS  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$72000.00;10/13/2011;JAMES MCKEEVER;NEW YORK  ;NY
DEPARTMENT OF CORRECTIONS;HAIR CARE ACCESSORIES: BANDS, CURLERS, NETS, PINS, ROLLERS, ETC. 43;$19000.00;10/13/2011;RONALD STEWART;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;FUEL OIL, HEATING 12;$5000.00;10/13/2011;MANSFIELD OIL COMPANY;GAINSVILLE  ;GA
DEPARTMENT OF GENERAL SERVICES;FUEL OIL, HEATING 12;$10000.00;10/13/2011;MANSFIELD OIL COMPANY;GAINSVILLE  ;GA
DEPART OF INSURANCE,SECURITIES & BANKING;COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24;$2600.00;10/13/2011;FEDERAL EXPRESS;MEMPHIS  ;TN
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$13852.50;10/13/2011;BMC SOFTWARE;HOUSTON  ;TX
DEPARTMENT OF PUBLIC WORKS;COPY MACHINE MAINTENANCE AND REPAIR 27;$45000.00;10/13/2011;COMPUTERDATA SOLUTIONS, LLC;WASHINGTON  ;DC
OFFICE OF CHIEF FINANCIAL OFFICER;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$32632.50;10/13/2011;THE MCCORMICK GROUP;FREDERICKSBURG  ;VA
DEPARTMENT OF GENERAL SERVICES;GARBAGE/TRASH REMOVAL, DISPOSAL AND/OR TREATMENT 27;$251792.77;10/13/2011;URBAN SERVICES SYSTEMS CORP;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MEMBERSHIP DUES 48;$4155.00;10/13/2011;ASSOCIATION FOR SUPERVISION AN;ALEXANDRIA  ;VA
PUBLIC SERVICE COMMISSION;"SECURITY SYSTEMS; INTRUDER AND SMOKE DETECTION/ENGINEERING 84";$10190.00;10/13/2011;KASTLE SYSTEMS;FALLS CHURCH  ;VA
DEPARTMENT OF PUBLIC WORKS;"OFFSET PRINTING, BOOKS, PERFECT BOUND (QUAN. OVER 10,000); 4 COLOR PROCESS ACCEPTABLE 66";$8828.00;10/13/2011;BALMAR PRINTING;GAITHERSBURG  ;MD
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$149500.00;10/13/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER NETWORK CONSULTING 30;$85066.80;10/13/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$28749.00;10/13/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$91181.00;10/13/2011;GROUP 1 SOFTWARE;LANHAM  ;MD
DEPARTMENT OF GENERAL SERVICES;PERSONNEL SERVICES, TEMPORARY 69;$10251.00;10/13/2011;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
OFFICE OF PEOPLE'S COUNSEL;COMPUTER SOFTWARE CONSULTING 29;$10500.00;10/13/2011;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;PERSONNEL SERVICES (NOT EMPLOYMENT) 62;$4717.44;10/13/2011;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;GENERATORS, PORTABLE AND STATIONARY, INCLUDING PARTS AND ACCESSORIES MAINTENANCE AND REPAIR 39;$32000.00;10/13/2011;IIU CONSULTING INSTITUTE INC;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;JANITORIAL/CUSTODIAL SERVICES 39;$44381.71;10/13/2011;MOTIR SERVICES INC;WASHINGTON  ;DC
DC PUBLIC LIBRARY;FIRE EXTINGUISHER MAINTENANCE (INCLUDING RECHARGING) AND REPAIR 34;$2995.00;10/13/2011;ACE FIRE EXTINGUISHER SERVICE;COLLEGE PARK  ;MD
DEPARTMENT OF MOTOR VEHICLES;POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57;$155438.00;10/13/2011;UNITED STATES POSTAL SERVICE;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;EDUCATION AND TRAINING CONSULTING 38;$5000.00;10/13/2011;CONSORTIUM FOR CHILD WELFARE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$4929.75;10/13/2011;MTW DISTRIBUTORS INC;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;DOORS, FRAMES, AND JAMBS, STEEL 25;$5000.00;10/13/2011;METROPOLITAN ROLLING DOORS INC;COLUMBIA  ;MD
OFFICE OF THE ATTORNEY GENERAL;DESK ACCESSORIES: ALPHABETIZERS, CASH BOXES, DESK FILES, FILE CARD CABINETS, LETTER SORTERS, MESSAGE RACKS, ETC. 33;$50000.00;10/13/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$6400.00;10/13/2011;TABLEAU SOFTWARE, INC.;SEATTLE  ;WA
DEPARTMENT OF TRANSPORTATION;"HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46";$16779.66;10/13/2011;GREENHORNE & O'MARA INC;LAUREL  ;MD
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$80006.00;10/13/2011;GREEN DOOR INC;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;CIRCUIT BREAKERS, LOAD CENTERS, BOXES, AND PANELBOARDS 14;$14317.00;10/13/2011;DUPONT COMPUTERS;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;HYGIENE SERVICES, INDUSTRIAL 49;$500000.00;10/13/2011;GLOBAL CONSULTING, INC.;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;GUARD AND SECURITY SERVICES 46;$79910.00;10/13/2011;CITY SECURITY CONSULTANTS, INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;GENERAL CONSTRUCTION - ARCHITECTURAL 38;$22867.07;10/13/2011;MVS, INC.;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$21045.42;10/13/2011;U STREET THEATRE FOUNDATION;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$50000.00;10/13/2011;EEC-FORRESTER ANACOSTIA;WASHINGTON   ;DC
OFFICE OF PEOPLE'S COUNSEL;INDUSTRIAL EQUIPMENT (NOT CONSTRUCTION AND REPAIR, OR HVAC) MAINTENANCE AND REPAIR 48;$7240.00;10/13/2011;RSC ELECTRICAL & MECHANICAL CO;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;STORM WATER DISCHARGE TESTING SERVICES 88;$16011.75;10/13/2011;ENVIRONMENTAL DESIGN &;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;ENVIRONMENTAL IMPACT STUDIES 32;$231930.01;10/13/2011;ENVIRONMENTAL DESIGN &;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24;$5000.00;10/13/2011;MIGUEL D. TARVER DBA/MDT RUSH;WASHINGTON  ;DC
PUBLIC SERVICE COMMISSION;NETWORKING SERVICES (INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE ) 37;$13800.00;10/13/2011;CEI SALES, LLC;NEWINGTON  ;VA
DC PUBLIC LIBRARY;TRADE SERVICES, CONSTRUCTION (NOT OTHERWISE CLASSIFIED) 84;$122555.00;10/13/2011;SMOOT CORPORATION OF WDC;WASHINGTON  ;DC
LOTTERY & CHARITABLE GAMES CONTROL BOARD;TRUCKS (ONE TON AND LESS CAPACITY) 48;$113948.00;10/13/2011;CRISWELL PERFORMANCE CARS, LLC;GAITHERSBURG  ;MD
DC PUBLIC LIBRARY;PLUMBING EQUIPMENT AND SUPPLIES 78;$10000.00;10/13/2011;GENERAL MERCHANDISE SUPPLIES;WASHINGTON  ;DC
OFFICE OF MUNICIPAL PLANNING;PLANNING, URBAN (COMMUNITY, REGIONAL, AREAWIDE, AND STATE) 64;$40000.00;10/13/2011;GOODY CLANCY & ASSOCIATES;BOSTON  ;MA
CHILD AND FAMILY SERVICES;COMPUTER HARDWARE CONSULTING 28;$2616.88;10/13/2011;HI-TECH SOLUTION, INC.;WASHINGTON  ;DC
HOMELAND SECURITY GRANTS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$225000.00;10/13/2011;THE MALLOY GROUP, LLC.;ANNANDALE  ;VA
OFFICE OF CHIEF FINANCIAL OFFICER;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$29200.00;10/13/2011;REGIONAL ECONOMIC MODELS INC;AMHERST  ;MA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$3989.35;10/13/2011;RENT-A-PC, INC.;HAUPPAUGE  ;NY
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$25000.00;10/13/2011;POST MASTER;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$25000.00;10/13/2011;NEW LEADERS, INC.;NEW YORK  ;NY
DEPART OF YOUTH REHABILITATION SERVICES;MILK, ALL TYPES 75;$66000.00;10/13/2011;HOLDER ENTERPRISES, INC.;WASHINGTON  ;DC
DEPART OF YOUTH REHABILITATION SERVICES;BREAD, ROLLS, ETC. (INCLUDING BROWN AND SERVE ITEMS) 15;$39000.00;10/13/2011;HOLDER ENTERPRISES, INC.;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;DELIVERED MEALS (INCLUDING SHELF STABLE MEALS) 30;$70002.03;10/13/2011;HOLDER ENTERPRISES, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$60000.00;10/13/2011;ERIN H. LEFF;OLNEY  ;MD
DEPARTMENT OF GENERAL SERVICES;BUILDING AND FACILITIES MANAGEMENT SERVICES 15;$33697.50;10/13/2011;THE DONOHOE COMPANIES, INC.;WASHINGTON  ;DC
OFFICE OF DISABILITY RIGHTS;MEMBERSHIP DUES 48;$4070.00;10/13/2011;NACDD;ALEXANDRIA  ;VA
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$2132220.00;10/14/2011;PARKSIDE SENIOR, LP;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15;$5000.00;10/14/2011;HOLDER ENTERPRISES, INC.;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$303221.00;10/14/2011;DIX STREET GATEWAY;GREENBELT  ;MD
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5000000.00;10/14/2011;ALABAMA AVE AFFORDABLE HOUSING;NEW YORK  ;NY
HOMELAND SECURITY/EMERGENCY MANAGEMENT;TELECOMMUNICATION EQUIPMENT (VIA SATELLITE) FOR POLICE AND EMERGENCY VEHICLE (INCLUDING RADIO/TERMINAL DISPLAY) 60;$41016.00;10/14/2011;COMMUNICATIONS LAB;MELBOURNE  ;FL
DEPART OF YOUTH REHABILITATION SERVICES;;$5105.08;10/14/2011;SHRED-IT USA, INC.;ROCKVILLE  ;MD
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$44887.75;10/14/2011;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$128793.60;10/14/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$34152.00;10/14/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$27065.50;10/14/2011;OST, INC.;WASHINGTON  ;DC
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;COMPUTER SOFTWARE CONSULTING 29;$125592.39;10/14/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;TREE AND SHRUB REMOVAL SERVICES 88;$100000.00;10/14/2011;C & D TREE SERVICE INC;VIENNA  ;VA
OFFICE OF CHIEF FINANCIAL OFFICER;OPTICAL SCANNING SERVICES 38;$23447.79;10/14/2011;SERVICESOURCE, INC;ALEXANDRIA  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$129384.00;10/14/2011;THE ARC OF DC, INC.;WASHINGTON  ;DC
OFFICE OF PEOPLE'S COUNSEL;COMPUTER SOFTWARE CONSULTING 29;$24000.00;10/14/2011;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$1772400.00;10/14/2011;DC HOUSING AUTHORITY;WASHINGTON  ;DC
OFFICE OF DISABILITY RIGHTS;EDUCATION AND TRAINING CONSULTING 38;$75384.00;10/14/2011;ADVOCATES FOR JUSTICE & ED.;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$1535774.25;10/14/2011;HOLY COMFORTER ST-CYPRIAN;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$52000.00;10/14/2011;MARY'S CTR MATERNAL CHILD CARE;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72;$15000.00;10/14/2011;LASER ART INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$115122.60;10/14/2011;PAUL JUNIOR HIGH PCS;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$110979.96;10/14/2011;COMMUNITY SERVICES FOR AUTIS.;MONTGOMERY VILLAGE  ;MD
OFFICE OF PEOPLE'S COUNSEL;INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51;$12660.00;10/14/2011;ALLIED TELECOM GROUP,LLC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$95116.72;10/14/2011;TWO RIVERS PCS;WASHINGTON  ;DC
PUBLIC SERVICE COMMISSION;INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51;$75003.24;10/14/2011;DATA NET SYSTEMS CORP;WASHINGTON  ;DC
OFFICE OF DISABILITY RIGHTS;EDUCATION AND TRAINING CONSULTING 38;$151561.00;10/14/2011;INSTITUTE FOR EDUCATIONAL LEADER;WASHINGTON,  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;GUARD AND SECURITY SERVICES 46;$326190.00;10/14/2011;CITY SECURITY CONSULTANTS, INC;WASHINGTON  ;DC
MUNICIPAL FACILITIES: NON-CAPITAL;JANITORIAL/CUSTODIAL SERVICES 39;$4462.00;10/14/2011;SUPERIOR SERVICE & ASSOC. INC;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50;$5000.00;10/14/2011;POTOMAC CREEK ASSOC LP;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;DESKS AND TABLES, WOOD 21;$6891.38;10/14/2011;CAPITAL SERVICES AND SUPPLIES;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$66670.00;10/14/2011;CHILDRENS NATIONAL MEDICAL CTR;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;HVAC SYSTEMS MAINTENANCE AND REPAIR, POWER PLANT 55;$80000.00;10/14/2011;RSC ELECTRICAL & MECHANICAL CO;WASHINGTON  ;DC
SPECIAL EDUCATION TRANSPORTATION;TOKENS 88;$77710.00;10/14/2011;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$6187.50;10/14/2011;CIMBRIAN;LANCASTER  ;PA
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$2227600.00;10/14/2011;POLLIN MEMORIAL COMM DEV LLC;BALTIMORE  ;MD
DEPARTMENT OF CORRECTIONS;PRISONER CLOTHING 49;$33296.50;10/14/2011;TOUCAN PRINTING & PROMO PROD;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;JANITORIAL/CUSTODIAL SERVICES 39;$18051.48;10/14/2011;U.S. FACILITIES, INC.;PHILADELPHIA  ;PA
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$3843147.00;10/14/2011;E&G DC CO-OP OWNER, LLC;MCLEAN  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4395.00;10/14/2011;LRP PUBLICATIONS;PALM BEACH GARDENS  ;FL
DEPARTMENT OF GENERAL SERVICES;BUILDING AND FACILITIES MANAGEMENT SERVICES 15;$31750.00;10/14/2011;HORTON AND BARBER CONSTRUCTION;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60;$7200.00;10/14/2011;HORTON AND BARBER CONSTRUCTION;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$229319.60;10/14/2011;HYACINTH'S PLACE, LLC;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;TRUCKS (WITH SPECIALIZED BODIES - AERIAL LADDERS AND TOWER BUCKETS, DIGGERS, ETC.) 53;$1999995.00;10/14/2011;JOHNSON TRUCK CENTER, LLC;LANDOVER  ;MD
OFFICE OF PEOPLE'S COUNSEL;COPY MACHINES, DIGITAL TYPE, RENTAL OR LEASE 27;$20298.00;10/14/2011;XEROX CORPORATION;PHILADELPHIA  ;PA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$10000.00;10/14/2011;PHONAK LLC;WARRENVILLE  ;IL
DEPART OF YOUTH REHABILITATION SERVICES;SOFTWARE MAINTENANCE/SUPPORT 45;$3600.00;10/14/2011;EDP CONSULTANTS LTD;FREDERICTON  ;NB
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$21500.00;10/15/2011;R MCGHEE & ASSOCIATES;WASHINGTON   ;DC
DEPARTMENT OF GENERAL SERVICES;ELECTRICAL EQUIPMENT (EXCEPT CABLE AND WIRES, AND LIGHTING FIXTURES) MAINTENANCE AND REPAIR 25;$66531.00;10/15/2011;TRULITE ELECTRICAL SVC, LLC;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$150000.00;10/15/2011;TURNER CONSTRUCTION COMPANY;ARLINGTON  ;VA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$5098.25;10/15/2011;TYSON PROJECT MANAGEMENT GROUP;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$200000.00;10/15/2011;TURNER CONSTRUCTION COMPANY;ARLINGTON  ;VA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$36343.08;10/15/2011;DIVERSIFIED EDUCATIONAL SYSTEM;MIDDLEBURG  ;VA
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;MEMBERSHIP DUES 48;$4240.00;10/17/2011;NATIONAL ASSOCIATION OF STATE;NASHVILLE  ;TN
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$240370.16;10/17/2011;E&G DC CO-OP OWNER, LLC;MCLEAN  ;VA
METROPOLITAN POLICE DEPARTMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5200.00;10/17/2011;LEICA MICROSYSTEMS, INC.;BUFFALO GROVE   ;IL
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7000.00;10/17/2011;AMERICAN PUBLIC HEALTH ASSOCIA;WASHINGTON  ;DC
OFFICE OF THE CHIEF MEDICAL EXAMINER;LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62;$8800.00;10/17/2011;NOVA BIOMEDICAL CORPORATION;WALTHAM  ;MA
METROPOLITAN POLICE DEPARTMENT;SOFTWARE MAINTENANCE/SUPPORT 45;$6876.94;10/17/2011;INTERNATIONAL BUSINESS MACHINE;ATLANTA  ;GA
DEPARTMENT OF MENTAL HEALTH;SOFTWARE MAINTENANCE/SUPPORT 45;$383751.00;10/17/2011;CANON BUSINESS SOLUTIONS, INC;BURLINGTON  ;NJ
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$13000.00;10/17/2011;CORP.FOR SUPPORTIVE HOUSING;NEW YORK  ;NY
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4200.00;10/17/2011;HEALTHY SOLUTIONS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/17/2011;DAWN M. DANDY;UPPER MARLBORO  ;MD
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$3498028.94;10/17/2011;PUBLIC CONSULTING GROUP, INC.;BOSTON  ;MA
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$382500.00;10/17/2011;PUBLIC CONSULTING GROUP, INC.;BOSTON  ;MA
CHILD AND FAMILY SERVICES;ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02;$250000.00;10/17/2011;SIVIC SOLUTIONS GROUP, LLC;NEW HARTFORD  ;NY
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$113539.00;10/17/2011;SAND TECHNOLOGY SYSTEMS;KENILWORTH  ;NJ
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$18500.00;10/17/2011;RENITA C. PERKINS;BURTONSVILLE  ;MD
